,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Atpaf2,5.54E-13,-0.894640863,0.936,0.994,1.29E-08
mt-Atp8,4.83E-27,-0.842684097,0.909,0.982,1.12E-22
mt-Nd4l,1.94E-22,-0.802853039,0.973,1,4.53E-18
Nrxn1,2.36E-18,-0.795559196,0.995,1,5.49E-14
Etv1,8.31E-23,-0.761614117,0.973,0.982,1.94E-18
Csmd1,1.98E-08,-0.647562945,0.93,0.982,0.000461695
Arhgap15,1.67E-19,-0.586035564,0.909,0.982,3.88E-15
Mctp1,1.37E-06,-0.569573707,0.936,0.976,0.031861928
Uba52,3.46E-20,-0.550325096,0.743,0.902,8.05E-16
Fxyd2,1.27E-13,-0.549683364,0.995,1,2.96E-09
Elavl2,2.21E-24,-0.532645343,0.995,1,5.14E-20
Ccser1,1.32E-08,-0.526722542,0.77,0.878,0.000306417
Pik3r1,1.18E-16,-0.515670836,0.968,0.988,2.74E-12
Gria4,6.79E-15,-0.512587176,0.973,0.994,1.58E-10
Nrg3,2.09E-07,-0.501336659,0.936,0.982,0.004865985
Akap12,1.30E-16,-0.499124826,0.989,0.988,3.02E-12
Kcnmb2,7.90E-11,-0.4962779,0.813,0.915,1.84E-06
Steap3,1.33E-20,-0.489354132,0.952,0.982,3.10E-16
Vmn1r85,2.14E-09,-0.482401479,0.273,0.567,4.99E-05
Frmpd4,1.81E-08,-0.476854331,0.84,0.927,0.000421757
Pbx1,6.25E-13,-0.474976319,0.952,0.982,1.46E-08
Tle4,1.69E-18,-0.474903426,0.979,0.982,3.94E-14
Gng2,1.55E-20,-0.474110247,0.979,0.994,3.62E-16
Gnas,7.64E-16,-0.472688049,1,1,1.78E-11
Auts2,1.44E-09,-0.466793566,0.882,0.939,3.36E-05
Kirrel3,2.75E-09,-0.466476097,0.711,0.848,6.39E-05
Npy2r,1.09E-07,-0.463290044,0.754,0.89,0.002546869
Cbfb,3.37E-19,-0.457517455,0.968,0.994,7.84E-15
Astn2,1.42E-07,-0.456500507,0.963,0.982,0.003314472
Ralyl,1.01E-09,-0.455193128,0.963,0.988,2.36E-05
Zfp536,2.28E-11,-0.453216676,0.893,0.951,5.32E-07
Mab21l1,4.69E-18,-0.452091419,0.652,0.866,1.09E-13
Plcb3,3.70E-15,-0.44713559,0.813,0.927,8.61E-11
Gpr174,2.25E-09,-0.44690866,0.872,0.921,5.23E-05
Ncdn,4.24E-16,-0.445837161,0.963,0.988,9.87E-12
Celf4,7.10E-16,-0.444789127,0.973,0.994,1.65E-11
Ctnna2,1.04E-06,-0.432977126,0.979,0.988,0.024185043
Cadm1,1.63E-10,-0.430999831,0.984,0.982,3.80E-06
Sema3c,1.85E-16,-0.427239112,0.647,0.902,4.30E-12
Thra,8.32E-17,-0.423085083,0.984,0.988,1.94E-12
Nhs,2.91E-11,-0.422981791,0.84,0.933,6.77E-07
Gria3,5.28E-12,-0.421112428,0.797,0.902,1.23E-07
Zbtb20,1.35E-13,-0.416348401,0.979,0.982,3.15E-09
Kcnc4,9.16E-14,-0.413454949,0.93,0.97,2.13E-09
Negr1,5.03E-08,-0.411083908,0.973,0.988,0.001170508
Scn10a,1.11E-10,-0.404116214,0.979,0.982,2.59E-06
Ache,1.05E-13,-0.402690411,0.775,0.902,2.44E-09
Xist,2.04E-07,-0.399281333,0.872,0.933,0.004750205
Rbms1,3.30E-12,-0.398196952,0.984,0.988,7.68E-08
Snx7,2.96E-11,-0.394015132,0.963,0.982,6.89E-07
Ssbp2,1.15E-09,-0.393290724,0.877,0.951,2.68E-05
Unc13c,6.90E-07,-0.390019651,0.941,0.97,0.016080106
Ccser2,1.87E-10,-0.38863419,0.973,0.988,4.35E-06
Anxa5,5.57E-13,-0.388136358,0.984,0.994,1.30E-08
Necab1,1.52E-10,-0.387875268,0.979,0.982,3.54E-06
Snap25,8.30E-18,-0.379504796,0.989,1,1.93E-13
mt-Nd6,7.33E-08,-0.374333183,0.604,0.762,0.001708156
Col6a5,6.03E-11,-0.373884526,0.358,0.646,1.40E-06
Cdk14,7.90E-09,-0.373239194,0.93,0.939,0.000183917
Cthrc1,4.90E-12,-0.372851766,0.524,0.774,1.14E-07
Cyfip2,5.84E-16,-0.37099441,0.989,1,1.36E-11
Rbms3,3.18E-12,-0.37096697,1,1,7.40E-08
Ano3,6.04E-10,-0.367509092,0.861,0.945,1.41E-05
Ppfia2,1.19E-06,-0.367279943,0.957,0.963,0.02761726
Rps29,7.00E-24,-0.36605668,0.995,1,1.63E-19
Snhg11,2.31E-07,-0.365373662,0.973,0.982,0.005377005
Ndrg4,4.66E-13,-0.359274274,0.984,0.994,1.09E-08
Ccdc80,1.40E-14,-0.35790361,0.385,0.738,3.27E-10
Snap47,1.55E-09,-0.357815207,0.952,0.976,3.62E-05
Nyap2,2.05E-10,-0.35683271,0.759,0.89,4.77E-06
Apba1,4.80E-09,-0.355162624,0.952,0.97,0.000111874
Gpc5,8.10E-09,-0.354489794,0.476,0.701,0.000188661
Slc25a36,1.43E-10,-0.350223101,0.594,0.829,3.33E-06
Rgs3,7.85E-12,-0.349915849,0.936,0.976,1.83E-07
Tmeff2,9.88E-09,-0.348247043,0.93,0.97,0.000230083
Mapt,6.05E-12,-0.348226469,0.989,0.988,1.41E-07
Lpar3,1.83E-11,-0.345657786,0.497,0.78,4.27E-07
Mrgpra2b,5.16E-10,-0.344042389,0.171,0.47,1.20E-05
Nbea,9.54E-09,-0.343333858,0.754,0.848,0.000222064
Gpr149,1.90E-09,-0.342418756,0.85,0.933,4.43E-05
Dgkg,2.99E-10,-0.342302649,0.936,0.976,6.96E-06
Mpped2,7.47E-10,-0.341696884,0.968,0.976,1.74E-05
Plekha6,1.13E-09,-0.340137303,0.92,0.957,2.64E-05
Gm43376,7.06E-07,-0.338428029,0.465,0.646,0.016438834
Map2,4.58E-07,-0.337366742,0.925,0.945,0.010670331
Adgrl3,1.10E-07,-0.336365404,0.813,0.872,0.002569877
Trarg1,5.62E-10,-0.334602752,0.963,0.97,1.31E-05
Map2k4,1.73E-09,-0.334046493,0.93,0.957,4.03E-05
Ngb,1.96E-10,-0.333915026,0.722,0.86,4.56E-06
Cntnap5a,6.45E-07,-0.332207168,0.583,0.72,0.015022141
Prkce,9.67E-09,-0.332170194,0.947,0.963,0.000225281
