,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Prr15,2.55E-25,3.738096528,0.615,0.091,5.95E-21
Arxes1,4.96E-22,3.574737605,0.642,0.207,1.16E-17
Cyp26a1,6.17E-15,3.543868256,0.406,0.055,1.44E-10
Npy1r,3.13E-31,3.28779803,0.866,0.427,7.30E-27
Wfdc17,5.09E-09,3.137991848,0.23,0.018,0.000118612
A630023A22Rik,4.27E-14,2.861559254,0.412,0.061,9.95E-10
Crybb3,1.54E-10,2.622892901,0.326,0.055,3.59E-06
Serpina3i,3.03E-07,2.619594879,0.176,0.012,0.007060428
Traf3ip3,9.70E-19,2.601511611,0.62,0.177,2.26E-14
Arhgef38,3.33E-08,2.49687026,0.348,0.104,0.000775836
Fxyd7,3.38E-20,2.47527824,0.872,0.726,7.87E-16
Ggt5,1.67E-14,2.315048785,0.551,0.159,3.89E-10
Cdkn1a,1.77E-19,2.314035815,0.786,0.439,4.13E-15
Arxes2,2.49E-22,2.294925774,0.872,0.713,5.79E-18
Ccl21a,4.79E-07,2.252909845,0.187,0.018,0.011147847
Tifa,6.15E-25,2.205053868,0.866,0.482,1.43E-20
Tspan2,4.08E-08,2.090099023,0.433,0.171,0.000949035
Cdkn3,7.83E-09,2.05381515,0.353,0.091,0.000182342
Ebf4,4.89E-09,2.036469138,0.401,0.122,0.0001138
Mfsd4b1,6.38E-08,1.981230438,0.289,0.061,0.00148518
Sox11,6.98E-12,1.961205964,0.674,0.372,1.63E-07
Phlda1,5.34E-29,1.903141422,0.957,0.787,1.24E-24
Mtus2,1.17E-11,1.864311151,0.561,0.232,2.73E-07
Rgs6,2.78E-13,1.831747042,0.845,0.652,6.48E-09
Dnah8,4.48E-07,1.665607666,0.246,0.049,0.010442158
Ier5l,3.08E-10,1.605118244,0.433,0.128,7.17E-06
Shf,4.63E-10,1.549001792,0.524,0.207,1.08E-05
Vgf,4.79E-16,1.548479841,0.861,0.591,1.12E-11
Bcl6,1.26E-12,1.506696206,0.615,0.244,2.94E-08
Calca,7.45E-10,1.506072522,0.888,0.872,1.73E-05
Serpina3n,3.98E-31,1.501929782,0.984,0.957,9.26E-27
Myocd,1.27E-06,1.49347562,0.476,0.238,0.029494543
Nptx2,1.10E-09,1.460348647,0.658,0.348,2.57E-05
Rec114,1.21E-06,1.359839218,0.406,0.177,0.028200983
Top1mt,1.32E-06,1.34448406,0.433,0.183,0.030807058
Lgals3,7.27E-07,1.300409522,0.417,0.177,0.016933231
Syngr2,1.68E-06,1.250223901,0.476,0.232,0.039060888
Fxyd1,6.25E-07,1.24863529,0.62,0.409,0.014545728
Rgs2,3.51E-13,1.227432404,0.861,0.683,8.17E-09
Bcl3,3.74E-09,1.226799718,0.642,0.317,8.71E-05
Ppp1r14c,5.21E-08,1.187729566,0.561,0.28,0.001212883
Lxn,8.01E-08,1.174118686,0.824,0.616,0.001865461
